:START_ID(Post),:END_ID(Tag)
5,machine-learning
7,education
7,open-source
14,data-mining
14,definitions
15,databases
16,machine-learning
16,bigdata
16,libsvm
19,bigdata
19,scalability
19,efficiency
19,performance
20,nosql
20,relational-dbms
22,data-mining
22,clustering
22,octave
22,k-means
22,categorical-data
31,data-mining
31,clustering
35,algorithms
38,nosql
38,tools
38,processing
38,apache-hadoop
41,bigdata
41,r
50,r
50,databases
50,efficiency
50,tools
52,r
52,data-cleaning
59,apache-hadoop
59,r
61,machine-learning
61,predictive-modeling
69,processing
71,bigdata
71,statistics
75,statistics
75,bigdata
76,bigdata
76,tools
76,data-stream-mining
77,databases
77,nosql
77,neo4j
81,definitions
81,parallel
81,distributed
86,clustering
89,bigdata
89,google
89,search
94,recommender-system
94,information-retrieval
102,nosql
102,performance
103,clustering
103,algorithms
103,similarity
107,tools
107,data-stream-mining
113,bigdata
113,performance
113,databases
113,nosql
115,data-mining
115,machine-learning
116,machine-learning
116,dimensionality-reduction
116,python
125,nosql
128,nlp
128,topic-model
128,lda
129,nlp
129,language-model
130,feature-selection
130,feature-extraction
130,dimensionality-reduction
134,scalability
134,apache-hadoop
134,map-reduce
134,mongodb
138,bigdata
138,efficiency
138,performance
143,nosql
143,efficiency
143,indexing
143,data-indexing-techniques
143,.net
155,open-source
155,dataset
159,bigdata
159,machine-learning
159,databases
159,statistics
159,education
169,machine-learning
169,statistics
169,feature-selection
172,performance
172,python
172,pandas
172,parallel
175,metadata
175,parsing
176,social-network-analysis
176,time-series
176,javascript
176,visualization
184,tools
186,svm
186,classification
186,binary
189,r
189,open-source
189,parallel
189,optimization
191,neural-network
192,usecase
192,consumerweb
196,machine-learning
196,classification
199,topic-model
199,lda
199,parameter
205,parallel
205,clusters
205,aws
209,recommender-system
211,bigdata
211,machine-learning
211,databases
211,clustering
211,data-mining
215,machine-learning
215,python
215,pandas
215,scikit-learn
218,python
218,pandas
223,nlp
223,metadata
223,data-cleaning
223,text-mining
224,machine-translation
227,bigdata
227,efficiency
