:START_ID(User),:END_ID(Post)
5,5
36,7
51,9
22,10
66,14
64,15
63,16
63,17
-1,18
84,19
96,20
14,21
97,22
97,23
14,24
104,25
115,26
108,27
118,28
53,29
26,30
118,31
132,33
26,35
9,37
134,38
104,40
136,41
59,42
115,43
59,44
84,45
21,46
62,47
201,48
2961,49
151,50
62,51
157,52
116,53
84,57
119,58
158,59
118,60
158,61
26,62
84,64
-1,65
118,66
201,67
201,68
158,69
178,70
179,71
22,72
14,73
64,74
158,75
158,76
158,77
178,78
53,79
53,80
84,81
172,82
26,83
26,84
26,85
116,86
108,87
189,89
156,90
84,91
21,92
21,93
84,94
9,95
115,96
158,97
92,101
199,102
113,103
53,104
53,105
34,106
200,107
-1,108
200,109
26,111
70,112
199,113
212,115
173,116
201,118
201,119
92,120
92,121
180,122
53,123
53,124
109,125
26,126
122,128
122,129
122,130
26,131
172,132
26,133
227,134
227,135
227,136
227,137
84,138
118,139
118,140
-1,141
84,142
229,143
29575,144
118,145
29575,146
118,147
229,148
229,149
229,151
229,152
84,153
229,154
227,155
118,156
36,157
84,158
199,159
156,160
21,161
59,162
229,163
208,164
108,165
21,166
229,167
229,168
113,169
84,170
172,171
250,172
158,173
172,174
249,175
173,176
201,177
201,178
97,179
201,180
201,181
21,182
262,183
200,184
108,185
133,186
84,187
82,188
151,189
173,190
273,191
88,192
178,193
108,194
92,195
275,196
108,197
88,198
122,199
278,200
97,201
108,202
265,203
250,204
250,205
172,206
21,207
26,208
71,209
283,210
295,211
21,212
59,213
295,214
250,215
108,216
82,217
273,218
178,219
250,220
250,221
43,222
227,223
122,224
290,226
339,227
339,228
21,229
178,230
133,231
375,232
381,233
386,234
122,235
381,236
59,237
395,238
403,241
406,242
432,243
434,244
432,245
434,246
434,247
434,248
434,249
434,250
451,251
88,252
456,253
463,254
466,255
434,256
11,257
434,258
454,259
454,260
480,261
97,262
478,263
490,264
434,265
434,266
418,268
97,269
478,270
418,271
478,272
498,273
434,274
508,275
434,276
518,277
524,278
514,279
531,280
514,282
84,284
553,285
108,287
381,288
560,289
571,290
381,291
587,292
26,293
602,294
386,295
14,296
418,297
609,298
609,300
609,301
434,302
609,303
534,305
434,306
496,307
434,308
638,309
555,310
434,311
655,312
663,313
178,314
514,316
680,317
471,318
691,319
574,320
418,323
714,324
434,325
721,326
115,327
456,328
729,330
108,331
108,332
434,334
478,335
733,336
735,337
737,338
514,339
471,340
743,341
754,343
554,345
554,346
733,347
456,348
780,349
194,350
735,351
62,352
791,354
434,355
434,356
797,357
587,358
743,359
801,360
158,361
737,362
84,363
158,364
386,365
780,366
791,368
838,369
839,370
434,371
381,372
434,373
780,374
418,375
84,376
434,377
842,379
842,380
842,381
846,382
97,384
780,386
84,387
780,388
515,389
21,390
735,391
478,393
548,394
548,395
548,396
733,397
872,398
735,399
846,400
791,401
387,402
880,403
548,404
548,405
886,406
227,407
178,408
889,409
890,410
890,411
322,412
890,413
548,414
548,415
381,416
414,417
900,418
901,419
178,420
88,421
84,422
84,423
906,424
791,425
122,426
908,427
906,428
846,429
913,430
743,431
241,432
241,433
515,434
917,435
548,436
199,437
780,439
922,440
426,441
548,442
474,443
418,444
609,445
322,446
890,447
418,448
21,449
941,450
84,451
403,452
84,453
403,454
960,455
322,456
548,457
84,458
178,459
984,460
986,461
548,462
984,463
984,464
984,465
989,466
994,468
906,469
941,470
944,471
922,473
957,474
418,475
986,477
1004,480
59,481
178,482
968,483
1011,484
1015,485
1011,487
1021,488
1011,489
941,491
684,492
1029,493
1028,494
1011,495
434,496
1047,497
819,498
819,499
514,500
119,501
108,502
1057,503
684,504
1011,506
780,507
984,508
1015,509
941,510
97,511
609,512
964,513
609,514
985,516
119,517
960,518
454,519
1085,520
1061,521
1011,522
1096,523
406,525
1103,526
1107,527
159,529
454,530
793,531
418,532
1085,533
883,534
941,535
289,536
1125,538
1127,539
1131,540
322,541
793,543
793,544
1011,545
1011,546
1138,548
1011,549
418,550
941,552
728,554
434,555
434,556
1147,559
1085,560
964,561
1155,562
1155,563
237,564
1162,565
1165,566
1163,567
1155,568
1164,569
434,570
1174,571
609,572
1176,573
1155,574
1155,575
1155,576
743,577
1155,580
1155,581
743,582
924,583
924,584
924,585
1192,586
793,587
97,588
791,591
172,592
172,593
1206,594
1207,595
941,596
478,597
1155,598
1155,599
1208,600
984,602
434,603
434,604
838,605
1220,606
1223,607
836,608
1224,609
941,611
1085,612
1235,613
968,614
1237,615
1240,616
97,617
1193,618
21,619
953,620
553,621
1085,622
474,623
454,624
816,625
1155,626
843,627
843,628
62,629
609,630
1271,634
21,635
1273,636
1085,637
684,640
684,641
159,642
127,643
754,644
178,645
1283,646
984,648
984,649
172,650
172,651
172,652
133,653
964,654
1300,655
1301,656
133,657
1306,658
1289,659
1235,660
1314,661
1315,662
375,663
1319,664
1111,665
786,666
984,667
1329,668
548,669
1334,670
870,671
609,672
1279,675
1355,676
974,677
1097,678
1097,679
1279,680
1360,682
906,683
1367,684
1273,685
574,686
548,687
1367,688
548,689
1301,690
1301,691
1301,692
1301,693
989,694
684,695
199,697
1379,698
1384,699
1386,700
645,701
1367,702
1390,703
728,704
1399,705
684,707
84,708
1131,709
979,710
836,711
984,712
1314,713
2433,714
434,715
989,716
133,717
684,718
2443,719
434,720
548,721
2452,722
127,723
172,724
172,725
2458,726
2459,727
2452,728
375,729
84,730
2471,731
1279,732
471,733
21,734
1367,735
802,736
2485,737
2489,739
1350,740
381,741
2452,742
791,743
2507,744
989,745
2452,746
791,747
2511,748
728,749
1387,750
941,751
2452,752
2489,753
2513,754
984,755
2515,756
325,757
895,758
2452,759
1315,760
2533,761
131,762
1329,763
802,764
159,766
2544,767
154,773
2452,774
2575,775
2583,776
2599,777
890,778
2600,779
2452,780
548,781
2452,782
2604,783
989,784
941,785
2567,786
2614,787
434,788
802,789
381,790
921,791
743,792
2643,793
2648,794
375,795
2433,796
548,797
381,798
381,799
381,800
2433,801
1163,802
381,803
1117,804
2452,805
2653,806
548,807
1117,808
2452,809
2661,810
2513,811
192,812
471,813
2452,814
906,815
2668,816
941,818
471,819
95,820
471,821
178,822
95,823
1279,824
1192,825
325,826
548,827
192,828
1314,829
471,830
366,831
2702,832
325,833
1131,834
2711,835
2452,836
471,837
1314,838
63174,839
974,840
381,841
2725,842
2452,843
2726,844
1279,845
1279,846
816,847
924,848
2575,849
548,850
2744,851
2750,853
791,854
2452,855
